,file,cell,length,burst,tonic,silent,numbursts,burst_length_cv,ibi_cv,spikespburst,spikespburst_cv,burst_length,ibi_length,tonic_isi,tonic_isi_cv
15305004,15305004,NK,120000.0,0.00479764583333,0.56678096,0.428421394167,24,0.592073191361,0.622920739854,62.25,0.633066430803,2.8785875,2.17986363636,1.29,0.577574005012
15826021,15826021,1b,60723.200000000004,0.00169256315493,0.199957831603,0.798349605242,7,0.200612447388,0.288093650629,9.28571428571,0.915093683567,0.891571428571,7.84873333333,0.1475,0.579304082792
15317006,15317006,NK,108000.0,0.0,0.934557981481,0.0654420185185,,,,,,,,1.5495,0.577536541261
15731017,15731017,1s/14/30,120000.0,0.00299805069444,0.00911085583333,0.987891093472,66,0.226485300742,0.56174504046,20.7424242424,0.30690195995,0.654120151515,1.16129230769,0.714803846154,0.776299919939
15410000,15410000,1b,120099.9,0.0,0.235330961142,0.764669038858,,,,,,,,0.0875,0.58064004094
15507000,15507000,1b,2214200.0,0.0,0.582926460166,0.417073539834,,,,,,,,10.357,0.577378140983
15812010,15812010,1b/6/7,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15507002,15507002,NK,60650.00000000001,0.0,0.00121375597692,0.998786244023,,,,,,,,0.0295,0.587054314661
15o12004,15o12004,1b,300000.0,0.0,0.397307914333,0.602692085667,,,,,,,,0.69,0.577768487476
15421000,15421000,1b,120099.9,0.0,0.0,1.0,,,,,,,,0.0595,0.582181736427
15317001,15317001,1s?,120000.0,0.00207214583333,0.00255412083333,0.995373733333,10,0.691018439646,1.4804113813,62.9,0.917659673773,2.98389,7.86736666667,0.32,0.578251675311
15o22000,15o22000,1s,300000.0,0.0,0.0,1.0,,,,,,,,0.1495,0.579277988307
15821027,15821027,6/7,60000.0,0.0,0.417315581667,0.582684418333,,,,,,,,0.107,0.580041893427
15409011,15409011,NK,120099.9,0.0,0.879174276581,0.120825723419,,,,,,,,0.603,0.577828802441
15o14000,15o14000,1b/6/7,300000.0,0.00102896777778,0.415287342667,0.583683689556,23,0.338213660071,0.809345361255,44.5652173913,0.653897298949,4.02639565217,8.72435909091,1.2205,0.577586742789
15805013,15805013,1b/6/7,60000.0,0.0,0.494618943333,0.505381056667,,,,,,,,0.2525,0.578492407337
15427000,15427000,NK,120099.9,0.0,0.489123376456,0.510876623544,,,,,,,,1.114,0.577609344935
15409024,15409024,NK,120099.9,0.00322230623799,0.00379509724821,0.992982596514,26,0.576082267069,0.960609901059,37.7692307692,0.807036595566,1.78763461538,2.723652,0.515,0.577910531591
15220009,15220009,NK,503550.0,0.000445268737924,0.104269395095,0.895285336167,38,0.464570860874,1.75647039653,13.3157894737,1.10279513188,2.97114473684,10.0988027027,0.4575,0.577980908667
15216006,15216006,NK,40250.0,0.0,0.813533704348,0.186466295652,,,,,,,,0.304,0.578299078818
15827008,15827008,NK,30617.600000000002,0.0,0.0,1.0,,,,,,,,0.0145,0.596926996441
15616004,15616004,1s,60000.0,0.0,0.577752328333,0.422247671667,,,,,,,,0.1125,0.579910593364
15515008,15515008,14/30,60099.9,0.00341730257556,0.216450546507,0.780132150918,7,0.308133442513,0.563687910047,3.85714285714,0.738886568269,1.76332714286,6.29851666667,0.0545,0.582622983828
15303000,15303000,NK,120000.0,0.00172863888889,0.665416104167,0.332855256944,4,0.542331077928,0.529553665178,82.5,0.549981216809,6.2231,2.6165,0.8815,0.577677658084
15805000,15805000,6/7,60000.0,0.00494698611111,0.2982432,0.696809813889,6,0.463147840967,0.428529366381,20.8333333333,1.17065451778,2.96819166667,8.30644,0.2465,0.578520179749
